﻿Destalhamento da Despesa 2022
Unid. Gestora;Aprovado;Alteração;Movimentação;Bloqueado;Autorizado;Empenhado;Liquidado;
"ADMINISTRAÇÃO REGIONAL  SETOR COMPL. IND. E ABAST.";3.639.688,00;183.172,00;0,00;4.270,73;3.818.589,27;3.761.359,47;3.622.175,72;
"ADMINISTRAÇÃO REGIONAL DA CANDANGOLÂNDIA";8.408.056,00;-1.028.929,00;0,00;248.723,83;7.130.403,17;6.207.179,47;6.196.783,70;
"ADMINISTRAÇÃO REGIONAL DA FERCAL - RA XXXI";7.011.473,00;-1.869.104,00;-47.000,00;22.508,33;5.072.860,67;4.875.923,27;4.871.511,03;
"ADMINISTRAÇÃO REGIONAL DE  BRAZLANDIA";14.286.278,00;1.655.444,00;755.000,00;5.832,20;16.690.889,80;16.217.526,72;14.604.351,99;
"ADMINISTRAÇÃO REGIONAL DE ÁGUAS CLARAS";10.655.918,00;-429.153,00;0,00;28.482,62;10.198.282,38;9.937.697,66;9.852.434,59;
"ADMINISTRAÇÃO REGIONAL DE CEILÂNDIA";17.738.013,00;-3.107.005,00;474.015,48;34.834,14;15.070.189,34;14.719.863,87;14.489.954,64;
"ADMINISTRAÇÃO REGIONAL DE PLANALTINA";13.784.099,00;-1.844.082,00;0,00;70.867,79;11.869.149,21;11.577.348,90;11.440.142,95;
"ADMINISTRAÇÃO REGIONAL DE SAMAMBAIA";9.980.529,00;492.690,00;0,00;20.316,15;10.452.902,85;10.142.960,66;9.669.026,33;
"ADMINISTRAÇÃO REGIONAL DE SANTA MARIA";9.568.580,00;1.964.872,00;0,00;36.898,34;11.496.553,66;11.361.367,30;11.210.437,47;
"ADMINISTRAÇÃO REGIONAL DE SÃO SEBASTIÃO";6.228.347,00;197.830,00;0,00;30.986,93;6.395.190,07;6.024.378,19;5.919.682,43;
"ADMINISTRAÇÃO REGIONAL DE SOBRADINHO";10.729.153,00;-468.380,00;0,00;43.976,84;10.216.796,16;9.891.538,13;9.891.538,13;
"ADMINISTRAÇÃO REGIONAL DE SOBRADINHO II";5.213.379,00;-162.202,00;300.000,00;43.351,06;5.307.825,94;4.477.914,07;4.454.302,41;
"ADMINISTRAÇÃO REGIONAL DE TAGUATINGA";18.221.088,00;70.260,00;0,00;29.071,48;18.262.276,52;18.113.274,28;18.022.031,65;
"ADMINISTRAÇÃO REGIONAL DE VICENTE PIRES";5.507.434,00;371.897,00;0,00;28.210,46;5.851.120,54;5.656.316,98;5.645.680,02;
"ADMINISTRAÇÃO REGIONAL DO  NÚCLEO BANDEIRANTE";11.038.065,00;-1.677.447,00;-90.561,35;36.916,23;9.233.140,42;8.802.257,07;7.112.239,23;
"ADMINISTRAÇÃO REGIONAL DO CRUZEIRO";5.132.962,00;689.878,00;0,00;1.120,00;5.821.720,00;5.335.162,40;5.300.863,89;
