﻿Destalhamento da Despesa 2024
Unid. Gestora;Aprovado;Alteração;Movimentação;Bloqueado;Autorizado;Empenhado;Liquidado;
"ADMINISTRAÇÃO REGIONAL  SETOR COMPL. IND. E ABAST.";4.683.671,00;-450.000,00;0,00;1.963.907,16;2.269.763,84;1.759.168,08;1.679.642,14;
"ADMINISTRAÇÃO REGIONAL DA CANDANGOLÂNDIA";12.036.529,00;-1.630.000,00;0,00;5.791.547,60;4.614.981,40;2.506.839,32;2.224.906,71;
"ADMINISTRAÇÃO REGIONAL DA FERCAL - RA XXXI";5.882.807,00;0,00;0,00;3.099.596,10;2.783.210,90;2.096.666,77;1.874.057,91;
"ADMINISTRAÇÃO REGIONAL DE  BRAZLANDIA";20.188.529,00;-1.000.000,00;0,00;6.803.681,09;12.384.847,91;6.112.674,44;5.365.446,53;
"ADMINISTRAÇÃO REGIONAL DE ÁGUAS CLARAS";13.530.758,00;-1.450.000,00;0,00;5.818.713,48;6.262.044,52;5.294.960,80;5.252.437,10;
"ADMINISTRAÇÃO REGIONAL DE CEILÂNDIA";15.008.193,00;580.640,00;485.918,66;6.564.235,93;9.510.515,73;6.543.030,03;6.526.211,63;
"ADMINISTRAÇÃO REGIONAL DE PLANALTINA";13.761.712,00;-800.000,00;0,00;5.386.219,79;7.575.492,21;5.213.585,50;5.027.070,40;
"ADMINISTRAÇÃO REGIONAL DE SAMAMBAIA";15.756.972,00;-1.400.000,00;0,00;7.003.331,48;7.353.640,52;4.867.050,64;4.575.504,48;
"ADMINISTRAÇÃO REGIONAL DE SANTA MARIA";17.673.985,00;-517.000,00;-744.407,21;6.305.664,16;10.106.913,63;7.784.285,34;4.093.901,99;
"ADMINISTRAÇÃO REGIONAL DE SÃO SEBASTIÃO";8.325.533,00;0,00;0,00;3.930.750,19;4.394.782,81;2.887.551,03;2.735.976,06;
"ADMINISTRAÇÃO REGIONAL DE SOBRADINHO";14.027.089,00;-902.950,00;0,00;5.332.601,20;7.791.537,80;5.017.122,08;4.509.326,60;
"ADMINISTRAÇÃO REGIONAL DE SOBRADINHO II";7.449.252,00;-800.000,00;0,00;2.675.936,20;3.973.315,80;2.480.644,88;1.936.863,60;
"ADMINISTRAÇÃO REGIONAL DE TAGUATINGA";21.272.904,00;0,00;0,00;9.824.048,82;11.448.855,18;8.065.790,30;7.660.491,08;
